Key	MCF7	MDAMB231	MCF10A	BT20	HS578T	SKBR3
ALK2	2.2896434635	2.27634408602	1.93559705716	1.72099603848	1.55953593662	2.65930956423
JNK3	2.01958121109	2.41063950198	1.17164685908	2.03853989813	2.48890775325	2.82965478212
IRAK	0.755291454443	1.06547821166	0.594906621392	0.963610639502	1.05517826825	1.40848896435
STK10	2.21890209394	0.995642331636	1.54069043577	1.71827956989	2.14063384267	2.01958121109
ATM	1.57623089983	1.43865308432	1.02965478212	1.21092246746	1.6286361064	1.95936615733
EGFR	0.898924731183	1.00220713073	1.86598754952	1.22371250707	1.14187889078	1.46842105263
FLT	2.59054895303	1.65563101302	1.81448783248	1.72410865874	1.86242218449	2.25342388229
AKT	1.39552914544	1.6116581777	1.4714204867	1.58455008489	1.70407470289	1.75806451613
JNK1	2.00633842671	1.96293152235	2.2402942841	2.31856253537	2.36960950764	1.93887945671
CDC2	2.72999434069	2.74448217317	2.33440860215	2.31063950198	2.67572156197	2.67572156197
IGFR	1.373967176	1.02048670062	0.757951329938	0.690548953028	0.896095076401	1.00481041313
LRRK2	2.14063384267	1.81137521222	1.88862478778	1.51482739106	1.93237125071	1.78902093945
VEGFR1	1.09784946237	0.74233163554	0.799207696661	0.659988681381	1.11075268817	0.795642331636
PDPK	1.33361629881	2.12620260328	0.906168647425	1.13480475382	2.21890209394	2.60447085456
PRKCB	0.675438596491	1.00333899264	0.476547821166	0.936389360498	1.53808715337	1.35308432371
FAK	2.57413695529	2.37255234861	2.02580645161	1.73887945671	2.63820033956	2.07707979626
MEK1	0.954499151104	1.65885681947	2.22563667233	1.21182795699	2.03237125071	0.699377475948
IKK	2.07713638936	2.03933220147	1.79071873231	2.23927560838	2.20831918506	2.31663837012
HER2	1.43865308432	0.915563101302	1.50288624788	1.08488964346	1.33231465761	1.83848330504
FGFR	0.494951895869	1.10050933786	0.990888511602	0.501482739106	1.2830786644	0.8233729485
DNAPK	1.99784946237	1.5298811545	1.60141482739	1.27000565931	1.79620826259	1.88336162988
BRSK	1.11024335031	1.56027164686	0.970401810979	0.672778720996	1.14408602151	1.74657611771
HSP90	2.77334465195	1.980475382	2.26762874929	2.10599886814	2.43061686474	2.69462365591
CLK	2.04346349745	2.19926428976	1.15993208829	1.67889077533	3.0	3.0
PI3KG	1.54323712507	1.2701188455	1.52693831353	1.30735710243	1.37345783814	1.66168647425
ABL	1.08562535371	1.13910582909	1.19252971138	1.14250141483	1.23310696095	1.41018675722
PI3KA	1.63355970572	1.02976796831	1.54640633843	1.88115449915	1.88239954726	1.72665534805
PI3KB	1.08290888512	0.955121675156	0.529451046972	1.03961516695	1.1857385399	0.956253537068
TOP2	2.25172608942	1.9740237691	2.03367289191	1.9455008489	2.60447085456	2.48890775325
MTOR	1.773967176	1.36825127334	1.73955857385	1.85223542728	2.03870967742	2.12450481041
JAK	1.72127900396	1.53571024335	1.19439728353	1.90079230334	2.26411997736	2.26423316355
AUORA	1.14097340125	1.27436332767	0.895868704018	0.900056593096	1.63644595359	1.51544991511
CSF-1R	1.68579513299	1.50458404075	1.9740237691	2.31856253537	1.82541029994	1.81528013582
PIP5K3	2.11924165252	1.26530843237	1.07187323147	1.34301075269	2.12620260328	1.36711941143
C-MET	1.35019807583	1.37696661007	0.818392756084	1.1817770232	1.60175438596	1.55421618563
ALK	1.65506508206	1.59898132428	2.06994906621	2.65930956423	1.67436332767	1.8402942841
SRC	1.45161290323	1.41494057725	1.93367289191	1.71154499151	1.95053763441	1.35082059989
ROCK1	1.01103565365	1.59813242784	1.14538766271	1.03344651952	1.66344086022	1.76044142615
CHK1	1.88868138087	1.6415959253	1.70945104697	1.18879456706	1.82518392756	1.89060554612
GSK3B	1.22563667233	0.977419354839	1.16332767402	1.36542161856	1.59275608376	1.51324278438
SYK	0.905602716469	1.21448783248	0.610299943407	1.09360498019	1.51544991511	0.884323712507
CDK2	2.11341256367	1.71013016412	1.88409734012	1.86191284663	2.18585172609	1.7921901528
CDK4	1.29541595925	1.44827391058	0.795415959253	1.93887945671	1.51080928127	0.383576683645
BRAF	0.841086587436	1.42807017544	0.690039615167	0.956253537068	0.961007357102	1.42116581777
CDK9	2.62586304471	2.16779852858	2.86502546689	2.31063950198	2.43163554046	2.54980192417
PLK	1.20843237125	1.20401810979	1.39264289757	1.42297679683	1.48879456706	1.86451612903
LCK	1.73486134692	1.7117147708	1.84470854556	2.82965478212	2.06994906621	2.48890775325
BTK	2.23101301641	2.02422184493	1.98273910583	2.74448217317	2.80220713073	2.54980192417
